"Kode KBLI"|"Nama KBLI"|"Sub Sektor"
"03111"|"Penangkapan Pisces/Ikan Bersirip di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03112"|"Penangkapan Crustacea di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03113"|"Penangkapan Mollusca di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03115"|"Penangkapan/Pengambilan Induk/Benih Ikan di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03116"|"Penangkapan Echinodermata di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03117"|"Penangkapan Coelentarata di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03118"|"Penangkapan Ikan Hias Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03119"|"Penangkapan Biota Air Lainnya di Laut"|"Penangkapan Dan Pengangkutan Ikan"
"03121"|"Penangkapan Pisces/Ikan Bersirip di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03122"|"Penangkapan Crustacea di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03123"|"Penangkapan Mollusca di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03124"|"Penangkapan/Pengambilan Tumbuhan Air di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03125"|"Penangkapan/Pengambilan Induk/Benih Ikan di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03126"|"Penangkapan Ikan Hias di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"03127"|"Penangkapan Biota Air Lainnya di Perairan Darat"|"Penangkapan Dan Pengangkutan Ikan"
"50133"|"Angkutan Laut Dalam Negeri untuk Barang Khusus"|"Penangkapan Dan Pengangkutan Ikan"
"50142"|"Angkutan Laut Luar Negeri untuk Barang Khusus"|"Penangkapan Dan Pengangkutan Ikan"
"50222"|"Angkutan Sungai dan Danau untuk Barang Khusus"|"Penangkapan Dan Pengangkutan Ikan"
"03211"|"Pembesaran ikan/pisces bersirip di laut"|"Bidang Pembudidayaan Ikan"
"03215"|"Pembesaran Mollusca Laut"|"Bidang Pembudidayaan Ikan"
"03216"|"Pembesaran Crustacea Laut"|"Bidang Pembudidayaan Ikan"
"03217"|"Pembesaran Tumbuhan Air Laut"|"Bidang Pembudidayaan Ikan"
"03221"|"Pembesaran Ikan Air Tawar di Kolam"|"Bidang Pembudidayaan Ikan"
"03222"|"Pembesaran Ikan Air Tawar di Karamba Jaring Apung"|"Bidang Pembudidayaan Ikan"
"03223"|"Pembesaran Ikan Air Tawar di Karamba"|"Bidang Pembudidayaan Ikan"
"03224"|"Pembesaran Ikan Air Tawar di Sawah"|"Bidang Pembudidayaan Ikan"
"03227"|"Pembesaran Ikan Air Tawar di Karamba Jaring Tancap"|"Bidang Pembudidayaan Ikan"
"03251"|"Pembesaran Pisces/Ikan Bersirip Air Payau"|"Bidang Pembudidayaan Ikan"
"03253"|"Pembesaran Mollusca Air Payau"|"Bidang Pembudidayaan Ikan"
"03254"|"Pembesaran Crustacea Air Payau"|"Bidang Pembudidayaan Ikan"
"03255"|"Pembesaran Tumbuhan Air Payau"|"Bidang Pembudidayaan Ikan"
"03212"|"Pembenihan Ikan Laut"|"Bidang Pembudidayaan Ikan"
"03226"|"Pembenihan Ikan Air Tawar"|"Bidang Pembudidayaan Ikan"
"03252"|"Pembenihan Ikan Air Payau"|"Bidang Pembudidayaan Ikan"
"03213"|"Budidaya Ikan Hias Air Laut"|"Bidang Pembudidayaan Ikan"
"03214"|"Budidaya Karang (Coral)"|"Bidang Pembudidayaan Ikan"
"03219"|"Budidaya Biota Air Laut Lainnya"|"Bidang Pembudidayaan Ikan"
"03225"|"Budidaya Ikan Hias Air Tawar"|"Bidang Pembudidayaan Ikan"
"03229"|"Budidaya Ikan Air Tawar di Media Lainnya"|"Bidang Pembudidayaan Ikan"
"03259"|"Budidaya Biota Air Payau Lainnya"|"Bidang Pembudidayaan Ikan"
"03231"|"Jasa Sarana Produksi Budidaya Ikan Laut"|"Bidang Pembudidayaan Ikan"
"03232"|"Jasa Produksi Budidaya Ikan Laut"|"Bidang Pembudidayaan Ikan"
"03241"|"Jasa Sarana Produksi Budidaya Ikan Air Tawar"|"Bidang Pembudidayaan Ikan"
"03242"|"Jasa Produksi Budidaya Ikan Air Tawar"|"Bidang Pembudidayaan Ikan"
"03261"|"Jasa Sarana Produksi Budidaya Ikan Air Payau"|"Bidang Pembudidayaan Ikan"
"03262"|"Jasa Produksi Budidaya Ikan Air Payau."|"Bidang Pembudidayaan Ikan"
"03233"|"Jasa Pasca Panen Budidaya Ikan Laut"|"Bidang Pembudidayaan Ikan"
"03243"|"Jasa Pasca Panen Budidaya Ikan Air Tawar"|"Bidang Pembudidayaan Ikan"
"03263"|"Jasa Pasca Panen Budidaya Ikan Air Payau"|"Bidang Pembudidayaan Ikan"
"03133"|"Jasa Pasca Panen Penangkapan Ikan di Laut"|"Bidang Pembudidayaan Ikan"
"03143"|"Jasa Pasca Pasca Panen Penangkapan Ikan di Perairan Darat"|"Bidang Pembudidayaan Ikan"
"10211"|"Industri Penggaraman/Pengeringan Ikan"|"Pengolahan Hasil Perikanan"
"10212"|"Industri Pengasapan/Pemanggangan Ikan"|"Pengolahan Hasil Perikanan"
"10213"|"Industri Pembekuan Ikan"|"Pengolahan Hasil Perikanan"
"10214"|"Industri Pemindangan Ikan"|"Pengolahan Hasil Perikanan"
"10215"|"Industri Peragian/Fermentasi Ikan"|"Pengolahan Hasil Perikanan"
"10216"|"Industri Berbasis Daging Lumatan dan Surimi"|"Pengolahan Hasil Perikanan"
"10217"|"Industri Pendinginan/Pengesan Ikan"|"Pengolahan Hasil Perikanan"
"10219"|"Industri Pengolahan dan Pengawetan lainnya untuk Ikan"|"Pengolahan Hasil Perikanan"
"10221"|"Industri Pengolahan dan Pengawetan Ikan dan Biota Air (bukan Udang) dalam Kaleng"|"Pengolahan Hasil Perikanan"
"10222"|"Industri Pengolahan dan Pengawetan Udang dalam Kaleng"|"Pengolahan Hasil Perikanan"
"10291"|"Industri Penggaraman/Pengeringan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10292"|"Industri Pengasapan/ Pemanggangan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10293"|"Industri Pembekuan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10294"|"Industri Pemindangan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10295"|"Industri Peragian/Fermentasi Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10296"|"Industri Berbasis Lumatan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10297"|"Industri Pendinginan/ Pengesan Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10298"|"Industri Pengolahan Rumput Laut"|"Pengolahan Hasil Perikanan"
"10299"|"Industri Pengolahan dan Pengawetan lainnya untuk Biota Air lainnya"|"Pengolahan Hasil Perikanan"
"10414"|"Industri Minyak Ikan"|"Pengolahan Hasil Perikanan"
"10779"|"Industri Produk Masak lainnya"|"Pengolahan Hasil Perikanan"
"10794"|"Industri Kerupuk, Keripik, Peyek dan sejenisnya."|"Pengolahan Hasil Perikanan"
"46206"|"Perdagangan Besar Hasil Perikanan"|"Pemasaran Hasil Perikanan"
"46324"|"Perdagangan Besar Hasil Olahan Perikanan"|"Pemasaran Hasil Perikanan"
"47215"|"Perdagangan Eceran Hasil Perikanan"|"Pemasaran Hasil Perikanan"
"47245"|"Perdagangan Eceran Daging dan Ikan Olahan"|"Pemasaran Hasil Perikanan"
"47753"|"Perdagangan Eceran Ikan Hias"|"Pemasaran Hasil Perikanan"
"47754"|"Perdagangan Eceran Pakan Ternak/Unggas/Ikan dan Hewan Piaraan"|"Pemasaran Hasil Perikanan"
"03151"|"Penangkapan/Pengambilan Pisces Yang Dilindungi Dan/Atau Termasuk dalam Appendiks CITES"|"Pengelolaan Ruang Laut"
"03152"|"Penangkapan/Pengambilan Crustacea Yang Dilindungi Dan/ Atau Termasuk dalam Appendiks CITE"|"Pengelolaan Ruang Laut"
"03153"|"Penangkapan/Pengambilan Mollusca Yang Dilindungi Dan/ Atau Termasuk dalam Appendiks CITES"|"Pengelolaan Ruang Laut"
"03154"|"Penangkapan/Pengambilan Coelenterata Yang Dilindungi Dan/Atau Termasuk dalam Appendiks CITES"|"Pengelolaan Ruang Laut"
